,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,accommodates,bedrooms,beds,instant_bookable,price,Clothing,Entertainment,Exercise,Kitchen,Luxury,Outdoor,Parking,Security,Streaming,Technology,Views,Ward,Privacy,review_scores_rating,Target
667,1.3098230912476723,0.9654562383612664,1.0,1.0,4,1.0,2.0,1,115.0,1,1,0,1,0,1,0,1,0,0,0,1,1,4.93,1
668,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,94.0,1,0,0,1,0,0,1,1,0,0,0,4,2,5.0,1
669,1.0,1.0,0.94,0.0,4,1.0,2.0,0,168.0,1,1,0,1,0,0,0,1,1,0,0,1,1,4.92,1
670,4.0,0.4,0.0,0.0,2,1.0,1.0,0,65.0,1,0,0,0,0,0,0,1,0,0,0,3,1,4.67,0
671,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,88.0,1,0,1,0,0,0,0,1,0,0,0,2,2,4.86,1
672,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,1,1.7702985856469355,1.0,0,200.0,1,0,0,0,0,0,1,1,0,0,0,2,1,4.0,0
673,2.0,1.0,0.85,0.0,2,1.7702985856469355,1.0,0,89.0,0,0,0,1,0,0,0,1,0,0,0,1,1,4.6,0
674,1.0,1.0,1.0,0.0,2,1.0,1.0,0,250.0,1,0,0,1,0,1,0,1,0,0,1,2,1,4.88,1
675,1.0,1.0,0.88,0.0,2,1.0,1.0,0,100.0,1,1,0,1,0,0,1,1,1,0,0,4,1,4.87,1
676,1.0,1.0,1.0,1.0,4,2.0,2.0,0,350.0,1,0,0,1,0,1,0,1,0,0,0,6,1,5.0,1
677,1.0,1.0,1.0,1.0,6,2.0,5.0,0,180.0,1,1,0,1,0,1,1,1,0,0,0,5,1,4.76,1
678,1.0,1.0,1.0,1.0,4,2.0,2.0,0,153.0,1,1,0,1,0,0,1,1,1,0,0,5,1,4.97,1
679,1.0,1.0,1.0,1.0,4,1.0,2.0,0,224.0,1,1,0,1,0,0,0,1,1,0,0,6,1,4.78,1
680,1.0,1.0,0.99,1.0,4,1.0,2.0,0,185.0,1,0,0,1,0,1,1,1,0,0,0,6,1,4.98,1
681,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,1,1.0,1.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,2,5.0,1
682,1.0,1.0,0.98,0.0,3,1.0,1.0,0,79.0,1,0,0,1,0,0,1,1,0,0,0,4,1,4.3,0
683,1.0,1.0,0.98,1.0,2,1.0,1.0,0,100.0,1,0,0,1,0,0,0,1,0,0,0,4,1,4.86,1
684,1.0,1.0,1.0,1.0,4,2.0,2.0,1,185.0,1,0,0,1,0,1,0,1,0,0,0,1,1,4.88,1
685,1.0,1.0,1.0,0.0,4,1.0,2.0,1,146.0,1,0,1,1,0,0,0,1,0,0,0,2,1,4.81,1
686,1.0,1.0,0.99,1.0,2,1.7702985856469355,1.0,0,151.0,1,1,0,1,0,0,0,1,1,0,0,6,1,4.95,1
688,1.0,0.93,1.0,1.0,4,1.0,1.0,1,175.0,1,1,0,1,0,0,0,1,1,1,0,2,1,4.88,1
689,1.0,1.0,1.0,1.0,4,1.0,2.0,0,230.0,1,0,0,1,0,1,0,1,0,0,0,6,1,4.67,0
690,1.0,1.0,1.0,1.0,4,1.0,2.0,0,133.0,1,1,0,1,0,1,0,1,1,0,0,6,1,4.9,1
691,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,110.0,0,0,1,0,0,1,0,0,0,0,0,2,1,4.5,0
692,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,99.0,1,0,0,0,0,0,0,0,0,0,0,1,2,5.0,1
694,2.0,1.0,0.92,0.39646102343376377,2,1.7702985856469355,1.0,0,92.0,0,0,0,1,0,0,0,1,0,0,0,1,2,4.97,1
695,2.0,1.0,0.0,0.0,3,1.0,1.0,0,102.0,1,0,0,0,0,0,0,1,0,0,0,2,1,4.77,1
696,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,80.0,1,0,0,1,0,0,0,1,0,0,0,6,1,4.84,1
697,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,1,1.7702985856469355,1.0,0,35.0,1,0,0,0,0,0,0,1,0,0,0,4,2,4.69,0
698,1.0,1.0,1.0,1.0,12,6.0,7.0,0,697.0,1,1,0,1,0,1,0,1,0,0,0,3,1,4.83,1
699,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,1.7702985856469355,1.0,0,130.0,1,0,1,1,0,1,0,1,0,0,0,2,1,4.94,1
700,2.0,1.0,0.75,1.0,2,1.0,1.0,0,115.0,1,0,0,1,0,1,1,1,0,0,0,2,1,5.0,1
701,1.0,1.0,0.96,0.0,4,1.0,1.0,1,91.0,1,0,0,1,0,1,1,1,0,0,0,4,1,4.65,0
702,1.0,1.0,1.0,1.0,2,1.0,1.0,0,120.0,1,0,0,1,0,1,1,1,0,0,1,3,1,4.96,1
704,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,5,2.0,3.0,0,250.0,1,0,0,0,1,0,0,1,0,0,0,2,1,4.0,0
706,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,66.0,1,0,0,1,0,0,0,1,0,0,1,1,2,4.79,1
707,2.0,1.0,0.92,0.39646102343376377,2,1.0,1.0,0,121.0,1,1,0,1,0,1,0,1,0,0,0,1,1,4.92,1
708,1.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,73.0,1,0,0,1,0,1,0,1,0,0,0,1,2,4.95,1
709,1.0,1.0,1.0,1.0,3,1.0,1.0,0,115.0,1,0,0,1,0,0,1,1,0,0,0,6,1,4.93,1
710,1.0,1.0,1.0,0.0,5,2.0,2.0,0,84.0,1,0,0,1,0,0,0,1,0,0,0,2,1,4.38,0
711,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,0,99.0,1,0,0,1,0,1,0,1,0,0,0,1,2,4.95,1
712,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,65.0,1,0,0,0,0,0,0,1,0,0,0,5,2,4.8,1
713,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,98.0,1,1,0,1,0,1,1,1,0,0,1,2,2,4.99,1
714,1.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,1,52.0,1,0,0,1,0,1,0,1,0,0,0,2,2,4.68,0
716,2.0,1.0,0.46,1.0,6,2.0,2.0,0,165.0,1,0,0,1,0,0,0,1,0,0,0,2,1,4.94,1
717,1.0,1.0,0.97,0.39646102343376377,2,1.7702985856469355,2.0,0,47.0,1,1,0,1,0,1,1,1,1,0,0,3,2,4.97,1
718,3.0,0.75,0.9298995663090619,0.0,2,1.0,1.0,1,80.0,1,0,0,1,0,0,1,1,0,0,0,8,1,4.81,1
719,2.0,1.0,0.67,0.39646102343376377,1,1.7702985856469355,1.0,0,33.0,1,1,1,1,0,0,1,1,1,0,0,5,2,4.42,0
720,1.0,1.0,0.98,0.0,8,3.0,6.0,1,243.0,1,0,0,1,0,1,1,1,0,0,0,4,1,4.66,0
721,2.0,0.9,0.86,0.0,2,1.7702985856469355,1.0,0,93.0,1,0,0,1,0,1,0,1,0,0,0,3,1,4.46,0
722,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,2.0,1.0,0,105.0,1,0,0,1,0,0,0,1,0,0,0,1,1,4.8,1
723,1.0,1.0,1.0,1.0,4,1.7702985856469355,2.0,0,178.0,1,0,0,1,0,0,0,1,0,0,0,6,1,4.84,1
724,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,1,1.7702985856469355,1.0,0,75.0,1,0,0,0,0,0,1,1,0,0,0,2,2,4.67,0
725,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,2.0,2.0,0,190.0,1,0,0,0,0,0,1,1,0,0,0,6,1,0.0,0
726,1.0,0.98,0.98,0.0,5,2.0,2.0,1,408.0,1,0,1,1,0,0,0,1,0,0,0,2,1,4.29,0
727,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,1.7702985856469355,1.0,0,90.0,1,0,0,0,0,0,0,1,0,0,0,1,1,5.0,1
728,1.0,1.0,1.0,1.0,2,1.7702985856469355,1.0,0,178.0,1,1,0,1,0,1,0,1,1,0,0,6,1,4.59,0
729,1.0,1.0,0.97,0.39646102343376377,2,1.7702985856469355,1.0,0,70.0,1,0,0,0,0,0,0,1,0,0,0,5,2,4.86,1
731,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,2.0,0,94.0,1,0,0,1,0,0,1,1,0,0,0,3,1,4.99,1
732,1.0,1.0,1.0,1.0,2,1.0,2.0,0,98.0,1,1,0,1,1,1,0,1,0,0,0,6,1,4.97,1
733,1.3098230912476723,0.9654562383612664,0.0,0.0,3,1.0,2.0,1,79.0,1,0,0,1,0,0,0,1,0,1,0,1,1,4.92,1
734,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.7702985856469355,1.0,0,85.0,1,0,0,0,0,0,0,1,0,0,0,3,1,5.0,1
736,1.0,1.0,1.0,1.0,4,1.0,2.0,0,201.0,1,0,0,1,0,0,0,1,0,0,0,6,1,4.89,1
737,1.0,1.0,0.99,0.0,4,2.0,3.0,1,143.0,1,1,1,1,0,1,0,1,1,0,0,2,1,4.73,1
738,3.0,1.0,0.67,0.0,2,1.7702985856469355,5.0,0,49.0,0,0,0,1,1,0,0,1,0,0,0,4,2,4.6,0
739,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,2.0,3.0,0,200.0,1,0,0,1,0,1,1,1,0,0,0,3,1,4.9,1
740,3.0,0.73,0.27,0.39646102343376377,12,5.0,6.0,0,350.0,1,0,0,1,1,1,1,1,0,0,0,5,1,4.55,0
741,1.0,1.0,0.99,0.0,6,2.0,3.0,1,263.0,1,1,0,1,0,1,0,1,1,0,0,6,1,4.84,1
742,1.0,1.0,0.99,0.0,2,1.0,1.0,1,139.0,1,1,0,1,0,0,0,1,0,0,0,6,1,4.7,0
743,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0
744,1.0,1.0,0.99,0.0,8,3.0,3.0,1,295.0,1,1,0,1,0,1,0,1,1,0,0,6,1,4.85,1
745,2.0,1.0,0.7,0.39646102343376377,4,1.0,2.0,0,133.0,1,0,0,1,0,1,0,1,0,1,1,1,1,4.93,1
746,1.0,1.0,1.0,1.0,4,1.7702985856469355,3.0,1,109.0,1,1,0,1,0,1,1,1,0,0,0,6,1,4.76,1
747,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,1.7702985856469355,2.0,0,105.0,1,0,0,0,0,0,0,1,0,0,0,6,1,4.67,0
748,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,35.0,1,0,0,0,0,0,1,1,0,0,0,4,2,5.0,1
749,1.0,0.98,0.98,0.0,3,1.0,2.0,1,265.0,1,0,1,1,0,0,0,1,0,0,0,2,1,3.33,0
751,2.0,1.0,0.91,1.0,4,1.0,2.0,0,200.0,1,1,0,1,0,0,0,1,1,0,0,6,1,4.97,1
752,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,40.0,1,0,0,0,0,0,0,1,0,0,0,1,2,3.0,0
753,3.0,0.73,0.27,0.39646102343376377,1,1.7702985856469355,1.0,0,50.0,1,0,0,1,1,1,1,1,0,0,0,5,2,4.82,1
754,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,60.0,1,0,0,0,0,0,1,1,0,0,0,1,2,5.0,1
755,1.0,1.0,0.95,0.39646102343376377,2,1.7702985856469355,1.0,0,120.0,1,0,0,0,0,0,0,1,0,0,0,1,2,4.75,1
756,4.0,0.0,0.0,0.0,3,1.0,1.0,0,225.0,1,0,0,1,0,1,0,1,0,0,0,6,1,4.81,1
757,3.0,1.0,1.0,1.0,4,1.0,2.0,0,182.0,1,0,0,1,0,0,0,1,0,0,0,5,1,4.96,1
758,1.0,1.0,1.0,1.0,4,2.0,2.0,1,294.0,1,1,1,1,0,1,1,1,1,1,1,2,1,4.88,1
759,1.0,1.0,0.93,0.0,3,1.0,2.0,0,82.0,1,0,0,1,1,0,0,1,0,0,0,4,1,4.62,0
760,3.0,0.8,0.5,0.39646102343376377,2,1.7702985856469355,1.0,0,245.0,1,0,0,0,0,0,0,1,0,0,0,3,2,4.82,1
761,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,3.0,2.0,0,150.0,1,0,0,1,1,1,0,1,0,0,0,6,1,4.86,1
762,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,100.0,0,0,0,0,0,0,0,1,0,0,0,5,2,5.0,1
763,1.0,1.0,1.0,1.0,6,3.0,4.0,0,412.0,1,1,0,1,0,1,1,1,1,1,0,6,1,4.99,1
764,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,8,4.0,6.0,0,275.0,1,0,0,0,0,0,1,1,0,0,0,6,1,5.0,1
765,3.0,1.0,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,1.0,0,100.0,0,0,0,0,0,0,0,1,0,0,0,1,2,5.0,1
766,3.0,0.73,0.27,0.39646102343376377,1,1.7702985856469355,1.0,0,45.0,1,0,0,1,1,1,1,1,0,0,0,5,2,4.83,1
769,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,1.0,2.0,0,450.0,0,0,0,0,0,0,0,1,0,0,0,6,1,4.67,0
770,1.0,0.99,0.98,1.0,4,1.0,2.0,0,113.0,1,0,0,1,0,0,0,1,0,0,0,1,1,4.76,1
771,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,5,1.0,1.0,0,75.0,1,0,0,0,0,0,1,1,0,0,0,2,1,5.0,1
772,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,1.0,2.0,0,125.0,1,0,0,0,0,0,0,1,0,0,0,1,1,5.0,1
773,1.0,1.0,0.87,0.0,4,1.0,2.0,0,171.0,1,1,0,1,0,1,1,1,1,0,1,6,1,4.98,1
774,2.0,1.0,1.0,0.0,2,1.0,1.0,0,150.0,1,1,0,1,0,1,0,1,1,0,0,3,1,4.69,0
775,1.0,1.0,1.0,0.0,4,1.0,1.0,0,93.0,1,1,0,1,0,0,1,1,1,0,0,1,1,4.82,1
776,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,3,1.7702985856469355,1.0,0,60.0,1,0,0,0,1,0,0,1,0,0,0,6,2,4.4,0
777,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,2,1.7702985856469355,2.0,0,60.0,0,0,0,0,0,0,0,1,0,0,0,6,2,4.42,0
778,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,6,2.0,3.0,0,85.0,0,0,0,1,0,0,0,1,0,0,0,7,1,4.58,0
779,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,2.0,1.0,0,129.0,1,0,0,1,0,0,0,1,0,0,0,2,1,4.82,1
780,2.0,1.0,1.0,1.0,4,1.0,2.0,0,150.0,1,0,0,1,0,0,0,1,0,0,0,5,1,4.8,1
782,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,2.0,2.0,0,200.0,1,0,0,1,0,1,0,1,0,0,0,5,1,5.0,1
784,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,1.0,1.0,0,69.0,1,1,0,1,0,0,1,1,0,0,0,1,1,4.6,0
785,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,8,3.0,3.0,0,174.0,1,0,0,0,0,0,1,1,0,0,0,5,1,4.94,1
786,1.0,1.0,1.0,1.0,4,1.7702985856469355,2.0,0,156.0,1,1,0,1,0,1,1,1,1,1,1,6,1,4.94,1
787,1.0,1.0,1.0,0.0,8,3.0,4.0,1,199.0,1,0,0,1,0,1,1,1,0,0,0,7,1,4.53,0
